,MMAF_CODE,MMSI,COLCT_DT,REG_ANS,COMM_TYPE,LATITUDE,LONGITUDE,INSTALL_DT,LANTERN_STATUS,RACON_STATUS,BATTERY_STATUS,CHARGER_STATUS,SOLAR_STATUS,DATALOGGER_STATUS,SPARE_STATUS,MAIN_VOLT_STATUS,SUB_VOLT_STATUS,SOLAR_VOLT_STATUS,WIND_VOLT_STATUS,WAVE_VOLT_STATUS,CHARGER_VOLT_STATUS,BATTERY_VOLT_STATUS,SPARE_VOLT_STATUS,AIS_CURR_STATUS,LANTERN_CURR_STATUS,DATALOGGER_CURR_STATUS,SPARE_CURR_STATUS,WIND_SPEED_STATUS,WIND_DIRECT_STATUS,AIR_TEMPER_STATUS,HUMIDITY_STATUS,DEW_POINT_STATUS,AIR_PRESSURE_STATUS,HORIZON_VISIBL_STATUS,WATER_LEVEL_STATUS,CURRENT1_STATUS,CURRENT2_STATUS,CURRENT3_STATUS,WAVE_HEIGHT_STATUS,WAVE_DRC_STATUS,SWELL_HEIGHT_STATUS,SWELL_DRC_STATUS,WATER_TEMPER_STATUS,PRECIPI_TYPE_STATUS,SALINITY_STATUS,ICE_STATUS,HEAT_PROSTR_STATUS,HELIOGRAPH_STATUS,OXYGEN_STATUS,OXYGEN_SATUR_STATUS,PH_STATUS,CHLOROPHYLL_STATUS,MUDDINESS_STATUS,PRECIPI_STATUS,CHARGER_CURR_STATUS,DISCHARGER_CURR_STATUS,VTS_ID,BASESTATION_ID,REGIST_USER_NO,REGIST_DT,UPDT_USER_NO,UPDT_DT
2693895,110,994403586,2.01801E+13,,,37.05818333,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0,,,,,,
2693885,110,994403586,2.01801E+13,,,37.05818333,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0,,,,,,
2731188,110,994403586,2.01801E+13,,,37.05818333,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,,,,,,
2731181,110,994403586,2.01801E+13,,,37.05816667,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,,,,,,
2731175,110,994403586,2.01801E+13,,,37.05818333,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,,,,,,
2731165,110,994403586,2.01801E+13,,,37.05816667,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,,,,,,
2731159,110,994403586,2.01801E+13,,,37.05815,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0,,,,,,
2705763,110,994403586,2.01801E+13,,,37.05816667,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,,,,,,
2705744,110,994403586,2.01801E+13,,,37.05818333,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,,,,,,
2705737,110,994403586,2.01801E+13,,,37.05816667,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,,,,,,
2705717,110,994403586,2.01801E+13,,,37.05815,129.42895,,0,0,0,1,0,0,0,11.9,,0,,,,0,0,0.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,,,,,,
